,ingredients_text,carbohydrates_100g,fiber_100g,sugars_100g,proteins_100g,fat_100g,saturated-fat_100g
303282,pâte-de-cacao sucre beurre-de-cacao arôme-naturel-de-vanille,-0.10401598260860627,2.710955203921283,0.4568079870089713,-0.13854902951863396,1.7028041077788048,3.383398935946246
303284,pâte-de-cacao sucre beurre-de-cacao arôme-naturel-de-vanille,0.3770486634512018,1.997482937447591,1.3011917620037918,-0.3325416519587279,1.2637576362724294,2.662726504394148
303548,maïs eau sucre sel,-0.38234624211463814,1.3696273429507424,-0.2598071904537382,-0.7528590005789315,-0.7328584603398968,-0.672149845533207
303684,semoule-de-_blé_-dur,1.4903697014753292,0.11391615395704467,-0.4486825085446849,0.29254568701490824,-0.7328584603398968,-0.6580190135419894
303706,semoule-de-blé-dur eau,1.4731888212589075,0.22807171659283537,-0.44312735213024523,0.29254568701490824,-0.7328584603398968,-0.6580190135419894
303827,tomates sel,-0.791251191265475,-0.2000116432913798,-0.33757938025589274,-0.9252968871923484,-0.7694456662987613,-0.7004115095156422
304241,pommes-de-terre huile-de-palme,-0.24146302433998,-0.11439497131453683,-0.6097820445634335,-0.83907794388564,-0.6178700987548936,-0.46018736566494295
304421,tomates sel correcteur-d'acidité-:-acide-citrique,-0.8187405996117497,-0.48540054988085657,-0.3820206315714096,-0.9037421513656714,-0.7851258974239891,-0.7004115095156422
304481,pomme-de-terre huile-de-tournesol,0.6141448104378214,0.37076616988757377,-0.48201344703132254,-0.5265342743988219,1.138315787270608,-0.20583238982302607
304856,semoule-de-_blé_-dur,1.507550581691751,-0.05731718999664141,-0.42646188288692644,0.2063267437081999,-0.717178229214669,-0.6862806775244247
304858,semoule-de-_blé_-dur,1.507550581691751,-0.05731718999664141,-0.42646188288692644,0.2063267437081999,-0.717178229214669,-0.6862806775244247
304859,semoule-de-_blé_-dur,1.507550581691751,-0.05731718999664141,-0.42646188288692644,0.2063267437081999,-0.717178229214669,-0.6862806775244247
304860,semoule-de-_blé_-dur,1.507550581691751,-0.05731718999664141,-0.42646188288692644,0.2063267437081999,-0.717178229214669,-0.6862806775244247
