,ingredients_text,carbohydrates_100g,fiber_100g,sugars_100g,proteins_100g,fat_100g,saturated-fat_100g,clust
2,peanuts wheat-flour sugar rice-flour tapioca-starch salt leavening ammonium-bicarbonate baking-soda  soy-sauce water soybeans wheat salt  potato-starch,1.1196063064049482,1.2554717803149515,0.37125857822660135,0.8594352392565162,0.13791704148108114,-0.7004115095156422,5
30,organic-coconut,0.8660165144105638,1.1413162176791611,-0.2503634245491909,-0.3465522302460681,0.7724437276819618,3.068281382542094,0
148,cranberries sugar sunflower-oil,1.8968693273958668,2.0830996094244343,3.0827304241145743,-1.0654026700657495,-0.7955793848408075,-0.7004115095156422,3
149,apricots sulfur-dioxide,1.1811138575797382,1.3696273429507424,2.2955647601884817,-0.7959684722322858,-0.7955793848408075,-0.7004115095156422,3
171,almonds,-0.27926096081610785,3.024883001169708,-0.43590564879147375,1.0900709126019614,1.8177924693638081,-0.229854804208096,4
200,wheat-flour butter cream  water yeast sugar salt eggs wheat-gluten ascorbic-acid enzymes,0.5509191712413894,-0.3997838779040136,-0.33257973948289704,-0.22584570961667624,0.08669495313867065,0.767781934371867,5
201,enriched-wheat-flour wheat-flour malted-barley-flour niacin iron thiamine-mononitrate riboflavin folic-acid  sugar blueberries eggs soybean-oil water palm-oil corn-starch leavening sodium-acid-pyrophosphate baking-soda  natural-flavor s,0.6560661581658904,-0.5139394405398042,0.8195597008718778,-0.3670292292814112,0.02711007486280548,-0.17757072584059086,5
211,enriched-wheat-flour wheat-flour malted-barley-flour niacin iron thiamine-mononitrate riboflavin folic-acid  sugar eggs blueberries soybean-oil water corn-starch leavening sodium-acid-pyrophosphate baking-soda  natural-flavor soy-flour ,0.6100213991858804,-0.4283227685629613,0.816782122664658,-0.3681069660727452,0.03442751605457843,-0.2849650489738447,5
213,apples sugar unbleached-enriched-wheat-flour niacin reduced-iron thiamin-mononitrate riboflavin folic-acid palm-oil water modified-corn-starch cultured-dextrose maltodextrin cultured-dextrose  dextrose salt cinnamon agar carob-bean-gum,0.3742997226165744,-0.3141672059271705,0.6890135251325469,-0.8897315730783312,-0.07324340433865176,0.2180925699135021,1
279,pasteurized-milk cheese-cultures salt-and-enzymes,-0.8438246847277254,-0.7707894564703334,-0.6208923573923127,1.6289393082688892,0.6977012926517098,1.823355084115822,2
343,spinach,-0.8451991551450392,-0.08585608065558911,-0.6208923573923127,-0.8121345241022937,-0.7955793848408075,-0.7004115095156422,1
346,celery,-0.8414193614974264,-0.25708942460927514,-0.5197885106495118,-1.0654026700657495,-0.7955793848408075,-0.7004115095156422,1
353,filtered-water lemon-juice pure-cane-sugar,-0.5084539029031735,-0.7707894564703334,0.11960999265248712,-1.0654026700657495,-0.7955793848408075,-0.7004115095156422,1
376,bananas strawberries,1.978650317226034,3.3102719077591845,2.9505177014509125,-0.6806506355595632,-0.7955793848408075,-0.7004115095156422,3
380,bananas strawberries,2.1260622694829325,2.0830996094244343,2.7122014912714523,-1.0654026700657495,-0.7955793848408075,-0.7004115095156422,3
448,durum-wheat-semolina water,1.4879643782450305,0.2566106072517831,-0.5214550575738437,0.4746832047503298,-0.7490613658359653,-0.7004115095156422,5
495,corn water salt,-0.7190914943565038,-0.3141672059271705,-0.3098035981836947,-0.8929647834523329,-0.7328584603398968,-0.7004115095156422,1
609,roasted-peanuts sugar palm-oil salt,-0.3222131613571621,0.9986217643844228,-0.0998186857178774,1.292685429372726,1.980866873066176,0.8455015103235637,4
670,milk cream,-0.7373032273859109,-0.7707894564703334,-0.43590564879147375,-0.7065163185515758,-0.2729050139998844,0.24211498429857206,1
680,sugar water whole-milk-powder chocolate-liquor emulsifier soy-lecithin,0.8374962532513037,-0.05731718999664141,2.1566858498274915,-0.25710007656535805,1.295118098522885,2.83229648828876,0
713,peppers water distilled-vinegar sea-salt calcium-chloride,-0.7373032273859109,0.17099393527493995,-0.43590564879147375,-0.7065163185515758,-0.7955793848408075,-0.7004115095156422,1
720,tomato-puree water tomato-paste high-fructose-corn-syrup water wheat-flour contains-2%-or-less-of-the-following:-salt ascorbic-acid natural-flavor,-0.3936856230574764,-0.5424783311987519,-0.06537671594835186,-0.8854206259129959,-0.7955793848408075,-0.7004115095156422,1
744,almonds salt,-0.3936856230574764,3.024883001169708,-0.43590564879147375,1.448957264116135,1.8177924693638081,-0.229854804208096,4
777,flour water soybean-oil sugar yeast sea-salt rosemary salt,1.1333510105780855,0.8273884204307365,-0.3120256607494705,0.13196290510616376,-0.36019163393031856,-0.7004115095156422,5
778,flour water soybean-oil sugar yeast salt sea-salt,1.5151101689869764,-0.7707894564703334,-0.3120256607494705,0.13196290510616376,-0.36019163393031856,-0.7004115095156422,5
869,cream eggs high-fructose-corn-syrup water enriched-wheat-flour wheat-flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  vegetable-oils palm coconut  corn-syrup modified-starch sugar artificial-flavor whey skim-milk s,-0.2335598194404261,-0.7707894564703334,0.045726412340440316,-0.6343079535322075,0.7374245448356199,1.748461674562369,2
1093,sugar chocolate cocoa-butter milkfat soya-lecithin emulsifier  sea-salt artificial-flavor,1.0952094564976296,1.3696273429507424,2.017806939466501,-0.5265342743988219,0.9031123203921926,2.1257548887278794,0
1280,black-beans water salt,-0.4167080025474816,1.0556995457023182,-0.532009854761279,-0.4618700669187906,-0.7955793848408075,-0.7004115095156422,1
1422,tomato-concentrate water tomato-paste  sugar salt soybean-oil garlic-powder oregano citric-acid olive-oil,-0.5084539029031735,0.17099393527493995,-0.06537671594835186,-0.7065163185515758,-0.7955793848408075,-0.7004115095156422,1
1430,enriched-bleached-flour wheat-flour niacin iron thiamine-mononitrate riboflavin folic-acid  yellow-corn-flour salt spices natural-flavor onion-powder turmeric,1.4879643782450305,-0.7707894564703334,-0.6208923573923127,-0.2958986010533769,-0.7955793848408075,-0.7004115095156422,5
1440,almonds,-0.27926096081610785,3.024883001169708,-0.43590564879147375,1.0900709126019614,1.8177924693638081,-0.229854804208096,4
1443,pecans,-0.5084539029031735,2.0830996094244343,-0.43590564879147375,0.012334121268105838,3.037191776535681,0.24211498429857206,4
1445,walnuts,-0.5084539029031735,1.1413162176791611,-0.43590564879147375,0.7311845610877876,2.689090645555627,0.24211498429857206,4
1446,walnuts,-0.5084539029031735,1.1413162176791611,-0.43590564879147375,0.7311845610877876,2.689090645555627,0.24211498429857206,4
1448,walnuts,-0.5084539029031735,1.1413162176791611,-0.43590564879147375,0.7311845610877876,2.689090645555627,0.24211498429857206,4
1449,walnuts,-0.5084539029031735,1.1413162176791611,-0.43590564879147375,0.7311845610877876,2.689090645555627,0.24211498429857206,4
1460,pecans sugar corn-syrup brown-sugar natural-&-artificial-flavors canola-oil vanilla salt soy-lecithin an-emulsifier ,0.5062488826786931,0.2566106072517831,1.3628539982040715,-0.6806506355595632,1.258008218193179,-0.19594080742917375,0
1461,pecans sugar corn-syrup brown-sugar natural-&-artificial-flavors canola-oil vanilla salt soy-lecithin an-emulsifier ,0.6289203674239441,1.2554717803149515,0.9662158302130834,-0.6806506355595632,1.4446029685833888,-0.19594080742917375,0
1464,pecans,-0.5084539029031735,2.0830996094244343,-0.43590564879147375,0.012334121268105838,3.037191776535681,0.24211498429857206,4
1465,pecans,-0.5084539029031735,2.0830996094244343,-0.43590564879147375,0.012334121268105838,3.037191776535681,0.24211498429857206,4
1466,walnuts,-0.5084539029031735,1.1413162176791611,-0.43590564879147375,0.7311845610877876,2.689090645555627,0.24211498429857206,4
1467,walnuts,-0.5084539029031735,1.1413162176791611,-0.43590564879147375,0.7311845610877876,2.689090645555627,0.24211498429857206,4
1469,pecans,-0.5084539029031735,2.0830996094244343,-0.43590564879147375,0.012334121268105838,3.037191776535681,0.24211498429857206,4
1470,pecans,-0.5084539029031735,2.0830996094244343,-0.43590564879147375,0.012334121268105838,3.037191776535681,0.24211498429857206,4
1471,pecans,-0.5084539029031735,2.0830996094244343,-0.43590564879147375,0.012334121268105838,3.037191776535681,0.24211498429857206,4
1473,almonds potato-starch cinnamon natural-flavors dextrose modified-food-starch salt spice acesulfame-potassium sucralose,-0.10745215865189066,2.2828718440370683,-0.4225732733968187,1.2441872737627029,1.6311977189735984,-0.19594080742917375,4
1478,almonds,-0.2301236433971417,2.2828718440370683,-0.4225732733968187,1.2441872737627029,1.8177924693638081,-0.19594080742917375,4
1489,almonds,-0.8548204480662354,-0.3141672059271705,-0.5758955904353519,-0.7151382128822467,-0.4129817453852518,-0.6424750983516501,1
1490,almonds,-0.27926096081610785,3.024883001169708,-0.43590564879147375,1.0900709126019614,1.8177924693638081,-0.229854804208096,4
1491,cashews,0.06435664351232652,0.17099393527493995,-0.2503634245491909,0.7311845610877876,1.4691686640129122,0.4766867953527843,4
1492,pistachios,-0.05006801872904206,2.0830996094244343,-0.2503634245491909,1.0900709126019614,1.6437419038737806,0.006130090045238017,4
1501,almonds walnuts,-0.3222131613571621,2.7965718758981257,-0.2736950814898372,0.9553538136852294,2.144463951139385,0.1827654899354581,4
1504,peanuts almonds cashews salt,-0.2301236433971417,1.2554717803149515,-0.4225732733968187,1.2441872737627029,1.6311977189735984,0.05700108521362144,4
1505,almonds walnuts,-0.3527951281423928,2.2828718440370683,-0.4225732733968187,0.8594352392565162,2.190981970144227,0.05700108521362144,4
1506,peanuts almonds cashews salt,-0.2301236433971417,1.2554717803149515,-0.4225732733968187,1.2441872737627029,1.6311977189735984,0.05700108521362144,4
1507,almonds walnuts,-0.3527951281423928,2.2828718440370683,-0.4225732733968187,0.8594352392565162,2.190981970144227,0.05700108521362144,4
1516,walnuts sugar corn-syrup canola-oil salt soy-lecithin natural-flavor citric-acid,0.5062488826786931,0.2566106072517831,1.3628539982040715,-0.2958986010533769,1.070890793432129,-0.19594080742917375,0
1518,almonds natural-and-artificial-flavors cocoa-powder processed-with-alkali  potato-starch modified-food-starch salt acesulfame-potassium sucralose,-0.18098632597817566,2.482644078649702,-0.3036929261278111,1.3983036349234441,1.89253490439406,-0.2962697145668188,4
1519,almonds natural-and-artificial-flavors cocoa-powder processed-with-alkali  potato-starch modified-food-starch salt acesulfame-potassium sucralose,-0.10745215865189066,2.2828718440370683,-0.4225732733968187,1.2441872737627029,1.8177924693638081,-0.19594080742917375,4
1520,almonds natural-&-artificial-flavors cocoa-powder processed-with-alkali  potato-starch modified-food-starch salt acesulfame-potassium sucralose,-0.10745215865189066,2.2828718440370683,-0.4225732733968187,1.2441872737627029,1.6311977189735984,-0.19594080742917375,4
1522,walnuts sugar corn-syrup sesame-seeds salt canola-oil soy-lecithin an-emulsifier  natural-flavor citric-acid,0.5062488826786931,0.2566106072517831,1.1645349142085777,-0.2958986010533769,1.070890793432129,-0.19594080742917375,0
1632,popcorn sugar dextrose salt soy-lecithin,1.978650317226034,1.2554717803149515,2.5533240178184795,-0.6806506355595632,-0.7020206724602823,-0.7004115095156422,3
1675,milk-chocolate,1.1481265675642085,-0.02877829933769372,2.7977509000538223,-0.7895020514842827,0.9464942931719892,1.8360728329079181,0
1715,cured-with:-water salt sugar sodium-phosphate sodium-erythorbate sodium-nitrite,-0.9664961694729765,-0.7707894564703334,-0.6208923573923127,2.526694055449991,0.9464942931719892,0.4766867953527843,2
1717,sugar water bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  vegetable-oil palm soybean palm-kernel canola  cornstarch eggs food-starch-modified corn-syrup leavening baking-soda sodium,1.1144520423400222,-0.3712449872450659,1.726161227708422,-0.7614808949096024,0.0140432155917824,0.09515433158990892,3
1718,sugar water bleached-enriched-wheat-flour flour niacin reduced-iron thiamine-mononitrate riboflavin folic-acid  vegetable-oil palm soybean palm-kernel canola  cornstarch eggs food-starch-modified corn-syrup leavening baking-soda sodium,1.1144520423400222,-0.3712449872450659,1.726161227708422,-0.7614808949096024,0.0140432155917824,0.1954832387275539,3
